"season","daynum","wteam","wscore","lteam","lscore","wloc","numot","id"
"A",26,743,69,540,62,"A",NA,"A_540_743"
"A",26,744,64,528,62,"H",NA,"A_528_744"
"A",26,745,75,828,73,"H",NA,"A_745_828"
"A",26,758,50,726,45,"A",NA,"A_726_758"
"A",26,771,65,730,58,"H",NA,"A_730_771"
"A",26,776,92,644,78,"H",NA,"A_644_776"
"A",26,781,84,533,66,"H",NA,"A_533_781"
"A",26,783,75,742,64,"H",NA,"A_742_783"
"A",26,784,78,854,58,"N",NA,"A_784_854"
"A",26,786,87,642,63,"H",NA,"A_642_786"
"A",26,793,88,711,67,"H",NA,"A_711_793"
"A",26,807,83,778,77,"A",NA,"A_778_807"
"A",26,817,80,565,56,"H",NA,"A_565_817"
"A",26,819,92,833,83,"N",NA,"A_819_833"
"A",26,826,79,822,70,"N",NA,"A_822_826"
"A",26,839,75,686,62,"H",NA,"A_686_839"
"A",26,843,80,593,39,"H",NA,"A_593_843"
"A",26,853,88,777,61,"H",NA,"A_777_853"
"A",27,518,82,651,78,"N",NA,"A_518_651"
"A",27,551,83,814,41,"H",NA,"A_551_814"
"A",27,569,86,655,73,"N",NA,"A_569_655"
"A",27,613,72,780,66,"H",NA,"A_613_780"
"A",27,660,91,845,74,"H",NA,"A_660_845"
"A",27,698,96,673,85,"N",NA,"A_673_698"
"A",27,711,82,813,67,"H",NA,"A_711_813"
"A",27,714,77,774,64,"H",NA,"A_714_774"
"A",27,720,79,544,52,"H",NA,"A_544_720"
"A",27,725,74,846,64,"N",NA,"A_725_846"
"A",27,727,80,753,78,"H",NA,"A_727_753"
"A",27,790,74,605,59,"H",NA,"A_605_790"
"A",27,796,101,734,54,"H",NA,"A_734_796"
"A",27,825,66,635,60,"N",NA,"A_635_825"
"A",27,826,84,798,65,"N",NA,"A_798_826"
"A",27,835,71,641,63,"N",NA,"A_641_835"
"A",27,841,90,582,58,"H",NA,"A_582_841"
"A",28,508,76,552,62,"H",NA,"A_508_552"
"A",28,513,93,751,89,"A",NA,"A_513_751"
"A",28,519,68,690,65,"H",NA,"A_519_690"
"A",28,527,97,616,60,"H",NA,"A_527_616"
"A",28,534,78,746,74,"H",NA,"A_534_746"
"A",28,556,85,716,82,"H",NA,"A_556_716"
"A",28,568,84,674,83,"A",NA,"A_568_674"
"A",28,573,91,757,71,"H",NA,"A_573_757"
"A",28,595,97,619,81,"H",NA,"A_595_619"
"A",28,604,88,600,44,"H",NA,"A_600_604"
"A",28,606,87,540,76,"H",NA,"A_540_606"
"A",28,642,78,561,69,"H",NA,"A_561_642"
"A",28,645,87,686,72,"H",NA,"A_645_686"
"A",28,662,70,799,67,"H",NA,"A_662_799"
"A",28,664,83,617,81,"H",NA,"A_617_664"
"A",28,668,76,590,56,"A",NA,"A_590_668"
"A",28,669,90,700,64,"H",NA,"A_669_700"
"A",28,670,84,777,52,"H",NA,"A_670_777"
"A",28,672,91,724,74,"A",NA,"A_672_724"
"A",28,676,89,791,75,"H",NA,"A_676_791"
"A",28,680,75,566,70,"A",NA,"A_566_680"
"A",28,695,97,848,48,"H",NA,"A_695_848"
"A",28,729,99,828,61,"H",NA,"A_729_828"
"A",28,736,62,644,45,"A",NA,"A_644_736"
"A",28,769,92,747,70,"H",NA,"A_747_769"
"A",28,776,73,571,68,"A",NA,"A_571_776"
"A",28,801,88,543,75,"A",NA,"A_543_801"
"A",28,818,80,728,78,"A",NA,"A_728_818"
"A",28,824,73,702,67,"A",NA,"A_702_824"
"A",28,827,97,850,59,"H",NA,"A_827_850"
"A",28,830,87,847,58,"H",NA,"A_830_847"
"A",29,512,82,774,76,"H",NA,"A_512_774"
"A",29,557,91,516,67,"H",NA,"A_516_557"
"A",29,558,60,596,48,"A",NA,"A_558_596"
"A",29,587,111,548,69,"H",NA,"A_548_587"
"A",29,589,79,611,71,"A",NA,"A_589_611"
"A",29,595,92,594,44,"H",NA,"A_594_595"
"A",29,597,97,565,77,"H",NA,"A_565_597"
"A",29,602,142,800,127,"H",NA,"A_602_800"
"A",29,612,89,517,60,"H",NA,"A_517_612"
"A",29,623,89,579,57,"H",NA,"A_579_623"
"A",29,625,73,717,53,"H",NA,"A_625_717"
"A",29,628,98,575,66,"H",NA,"A_575_628"
"A",29,629,63,845,52,"H",NA,"A_629_845"
"A",29,634,92,506,65,"A",NA,"A_506_634"
"A",29,661,95,547,86,"A",NA,"A_547_661"
"A",29,663,92,640,82,"N",NA,"A_640_663"
"A",29,666,90,632,67,"H",NA,"A_632_666"
"A",29,671,75,515,72,"H",NA,"A_515_671"
"A",29,673,82,545,67,"H",NA,"A_545_673"
"A",29,675,77,816,54,"H",NA,"A_675_816"
"A",29,677,70,521,55,"H",NA,"A_521_677"
"A",29,687,98,836,88,"H",NA,"A_687_836"
"A",29,699,79,536,77,"H",NA,"A_536_699"
"A",29,708,83,743,76,"H",NA,"A_708_743"
"A",29,715,67,855,61,"H",NA,"A_715_855"
"A",29,720,77,843,68,"H",NA,"A_720_843"
"A",29,737,100,531,67,"H",NA,"A_531_737"
"A",29,741,90,588,65,"A",NA,"A_588_741"
"A",29,742,58,711,56,"H",NA,"A_711_742"
"A",29,754,62,652,61,"A",NA,"A_652_754"
"A",29,755,59,783,58,"H",NA,"A_755_783"
"A",29,764,83,679,67,"H",NA,"A_679_764"
"A",29,766,74,523,69,"H",NA,"A_523_766"
"A",29,771,73,592,58,"H",NA,"A_592_771"
"A",29,778,71,658,68,"H",NA,"A_658_778"
"A",29,781,61,756,60,"A",NA,"A_756_781"
"A",29,786,89,555,55,"H",NA,"A_555_786"
"A",29,794,75,813,47,"H",NA,"A_794_813"
"A",29,810,79,564,63,"H",NA,"A_564_810"
"A",29,811,85,678,67,"A",NA,"A_678_811"
"A",29,831,93,553,49,"H",NA,"A_553_831"
"A",29,840,74,582,55,"A",NA,"A_582_840"
"A",29,844,76,683,54,"H",NA,"A_683_844"
"A",29,849,89,696,55,"H",NA,"A_696_849"
"A",30,503,72,541,68,"H",NA,"A_503_541"
"A",30,509,65,653,58,"H",NA,"A_509_653"
"A",30,539,112,804,73,"A",NA,"A_539_804"
"A",30,546,79,790,76,"A",NA,"A_546_790"
"A",30,549,101,852,51,"H",NA,"A_549_852"
"A",30,551,91,510,55,"H",NA,"A_510_551"
"A",30,556,86,791,72,"H",NA,"A_556_791"
"A",30,559,86,712,39,"H",NA,"A_559_712"
"A",30,570,73,533,64,"H",NA,"A_533_570"
"A",30,573,90,784,57,"H",NA,"A_573_784"
"A",30,574,67,529,64,"H",NA,"A_529_574"
"A",30,577,71,815,57,"H",NA,"A_577_815"
"A",30,581,83,775,63,"N",NA,"A_581_775"
"A",30,604,91,833,71,"H",NA,"A_604_833"
"A",30,608,86,819,82,"A",NA,"A_608_819"
"A",30,617,94,820,90,"A",NA,"A_617_820"
"A",30,635,88,571,64,"H",NA,"A_571_635"
"A",30,636,72,830,66,"N",NA,"A_636_830"
"A",30,639,108,682,84,"H",NA,"A_639_682"
"A",30,655,109,773,100,"H",NA,"A_655_773"
"A",30,669,74,641,53,"H",NA,"A_641_669"
"A",30,670,80,520,52,"A",NA,"A_520_670"
"A",30,701,80,803,56,"H",NA,"A_701_803"
"A",30,713,80,538,68,"H",NA,"A_538_713"
"A",30,723,75,610,67,"H",NA,"A_610_723"
"A",30,731,84,578,73,"N",NA,"A_578_731"
"A",30,736,62,642,47,"H",NA,"A_642_736"
"A",30,738,78,537,76,"A",NA,"A_537_738"
"A",30,749,65,690,63,"A",NA,"A_690_749"
"A",30,796,81,721,69,"A",NA,"A_721_796"
"A",30,799,74,692,60,"A",NA,"A_692_799"
"A",30,809,77,848,65,"A",NA,"A_809_848"
"A",30,814,73,598,71,"A",NA,"A_598_814"
"A",30,821,70,793,69,"A",NA,"A_793_821"
"A",30,829,70,530,63,"H",NA,"A_530_829"
"A",30,839,69,722,53,"N",NA,"A_722_839"
"A",30,854,89,644,72,"A",NA,"A_644_854"
"A",31,515,103,693,49,"H",NA,"A_515_693"
"A",31,518,91,634,74,"H",NA,"A_518_634"
"A",31,527,81,651,67,"H",NA,"A_527_651"
"A",31,550,96,545,90,"A",NA,"A_545_550"
"A",31,567,82,828,66,"H",NA,"A_567_828"
"A",31,616,57,528,54,"A",NA,"A_528_616"
"A",31,633,88,590,70,"H",NA,"A_590_633"
"A",31,665,74,588,67,"H",NA,"A_588_665"
"A",31,673,93,523,53,"H",NA,"A_523_673"
"A",31,676,66,767,51,"H",NA,"A_676_767"
"A",31,681,87,508,79,"A",NA,"A_508_681"
"A",31,695,99,850,60,"H",NA,"A_695_850"
"A",31,729,99,832,73,"H",NA,"A_729_832"
"A",31,732,61,726,50,"H",NA,"A_726_732"
"A",31,746,57,679,55,"H",NA,"A_679_746"
"A",31,761,89,705,65,"H",NA,"A_705_761"
"A",31,788,86,672,83,"H",NA,"A_672_788"
"A",31,805,105,734,52,"H",NA,"A_734_805"
"A",31,824,77,702,70,"H",NA,"A_702_824"
"A",31,825,81,853,75,"H",NA,"A_825_853"
"A",32,509,69,838,64,"N",NA,"A_509_838"
"A",32,531,56,704,54,"N",NA,"A_531_704"
"A",32,555,53,674,51,"N",NA,"A_555_674"
"A",32,557,78,812,60,"H",NA,"A_557_812"
"A",32,589,62,834,59,"N",NA,"A_589_834"
"A",32,597,66,657,49,"H",NA,"A_597_657"
"A",32,608,69,730,62,"N",NA,"A_608_730"
"A",32,627,70,561,64,"H",NA,"A_561_627"
"A",32,628,104,586,58,"H",NA,"A_586_628"
"A",32,629,75,791,67,"H",NA,"A_629_791"
"A",32,655,83,664,73,"H",NA,"A_655_664"
"A",32,659,87,610,69,"H",NA,"A_610_659"
"A",32,660,72,558,45,"H",NA,"A_558_660"
"A",32,678,105,797,71,"H",NA,"A_678_797"
"A",32,680,87,538,68,"H",NA,"A_538_680"
"A",32,685,63,620,61,"N",NA,"A_620_685"
"A",32,687,76,576,75,"N",NA,"A_576_687"
"A",32,698,82,600,59,"H",NA,"A_600_698"
"A",32,708,89,801,71,"H",NA,"A_708_801"
"A",32,736,61,526,41,"N",NA,"A_526_736"
"A",32,738,78,622,67,"H",NA,"A_622_738"
"A",32,743,74,803,71,"N",NA,"A_743_803"
"A",32,755,66,582,48,"H",NA,"A_582_755"
"A",32,758,79,756,51,"A",NA,"A_756_758"
"A",32,762,109,800,91,"N",NA,"A_762_800"
"A",32,765,88,621,84,"N",NA,"A_621_765"
"A",32,768,72,773,61,"N",NA,"A_768_773"
"A",32,783,82,769,70,"N",NA,"A_769_783"
"A",32,795,68,615,66,"N",NA,"A_615_795"
"A",32,842,100,804,88,"N",NA,"A_804_842"
"A",32,844,60,794,49,"H",NA,"A_794_844"
"A",33,504,74,711,72,"A",NA,"A_504_711"
"A",33,506,69,547,66,"H",NA,"A_506_547"
"A",33,511,73,617,69,"A",NA,"A_511_617"
"A",33,515,116,508,75,"H",NA,"A_508_515"
"A",33,529,53,690,49,"A",NA,"A_529_690"
"A",33,530,87,703,72,"H",NA,"A_530_703"
"A",33,533,80,611,70,"H",NA,"A_533_611"
"A",33,535,67,520,57,"A",NA,"A_520_535"
"A",33,541,77,775,64,"H",NA,"A_541_775"
"A",33,543,65,650,58,"H",NA,"A_543_650"
"A",33,544,98,571,77,"H",NA,"A_544_571"
"A",33,546,80,583,65,"H",NA,"A_546_583"
"A",33,551,79,848,63,"A",NA,"A_551_848"
"A",33,556,132,602,117,"H",NA,"A_556_602"
"A",33,561,74,838,69,"N",NA,"A_561_838"
"A",33,565,77,564,76,"H",NA,"A_564_565"
"A",33,569,80,553,62,"H",NA,"A_553_569"
"A",33,575,70,654,62,"A",NA,"A_575_654"
"A",33,576,83,622,72,"N",NA,"A_576_622"
"A",33,578,77,624,65,"A",NA,"A_578_624"
"A",33,581,95,681,71,"H",NA,"A_581_681"
"A",33,587,81,836,61,"H",NA,"A_587_836"
"A",33,588,85,594,60,"H",NA,"A_588_594"
"A",33,592,75,599,66,"A",NA,"A_592_599"
"A",33,595,87,633,80,"H",NA,"A_595_633"
"A",33,603,86,843,83,"A",NA,"A_603_843"
"A",33,604,85,731,66,"A",NA,"A_604_731"
"A",33,606,89,510,65,"A",NA,"A_510_606"
"A",33,607,77,774,60,"H",NA,"A_607_774"
"A",33,612,64,642,44,"H",NA,"A_612_642"
"A",33,615,78,582,68,"N",NA,"A_582_615"
"A",33,616,75,641,72,"H",NA,"A_616_641"
"A",33,620,95,800,86,"N",NA,"A_620_800"
"A",33,621,89,797,72,"N",NA,"A_621_797"
"A",33,623,75,577,65,"A",NA,"A_577_623"
"A",33,627,71,509,60,"H",NA,"A_509_627"
"A",33,628,79,555,59,"H",NA,"A_555_628"
"A",33,629,82,743,64,"H",NA,"A_629_743"
"A",33,636,85,810,70,"H",NA,"A_636_810"
"A",33,637,106,661,88,"H",NA,"A_637_661"
"A",33,639,86,742,76,"H",NA,"A_639_742"
"A",33,640,89,625,82,"A",NA,"A_625_640"
"A",33,643,106,751,79,"H",NA,"A_643_751"
"A",33,645,86,825,71,"H",NA,"A_645_825"
"A",33,651,79,671,59,"H",NA,"A_651_671"
"A",33,652,70,817,67,"H",NA,"A_652_817"
"A",33,657,62,526,45,"N",NA,"A_526_657"
"A",33,659,59,531,56,"H",NA,"A_531_659"
"A",33,660,64,844,44,"H",NA,"A_660_844"
"A",33,663,50,662,47,"A",NA,"A_662_663"
"A",33,666,80,593,50,"H",NA,"A_593_666"
"A",33,667,76,850,58,"H",NA,"A_667_850"
"A",33,668,80,764,70,"H",NA,"A_668_764"
"A",33,670,68,574,48,"A",NA,"A_574_670"
"A",33,674,65,586,50,"N",NA,"A_586_674"
"A",33,675,79,536,74,"H",NA,"A_536_675"
"A",33,676,117,548,45,"H",NA,"A_548_676"
"A",33,678,105,765,81,"H",NA,"A_678_765"
"A",33,679,78,517,57,"H",NA,"A_517_679"
"A",33,680,92,589,62,"N",NA,"A_589_680"
"A",33,685,84,762,80,"N",NA,"A_685_762"
"A",33,692,66,700,63,"A",NA,"A_692_700"
"A",33,698,96,608,80,"H",NA,"A_608_698"
"A",33,699,88,521,80,"A",NA,"A_521_699"
"A",33,704,64,610,62,"N",NA,"A_610_704"
"A",33,708,87,783,63,"H",NA,"A_708_783"
"A",33,714,95,809,78,"A",NA,"A_714_809"
"A",33,715,66,745,46,"H",NA,"A_715_745"
"A",33,720,75,552,52,"H",NA,"A_552_720"
"A",33,722,90,512,85,"H",NA,"A_512_722"
"A",33,724,81,792,62,"H",NA,"A_724_792"
"A",33,726,64,807,57,"H",NA,"A_726_807"
"A",33,729,69,790,57,"A",NA,"A_729_790"
"A",33,730,69,600,59,"N",NA,"A_600_730"
"A",33,736,59,597,54,"A",NA,"A_597_736"
"A",33,738,88,687,76,"H",NA,"A_687_738"
"A",33,741,98,766,58,"H",NA,"A_741_766"
"A",33,744,89,782,81,"H",NA,"A_744_782"
"A",33,746,86,717,80,"H",NA,"A_717_746"
"A",33,749,73,723,65,"A",NA,"A_723_749"
"A",33,753,69,754,65,"H",NA,"A_753_754"
"A",33,755,70,795,42,"N",NA,"A_755_795"
"A",33,767,65,846,46,"H",NA,"A_767_846"
"A",33,769,80,801,75,"N",NA,"A_769_801"
"A",33,772,68,632,61,"H",NA,"A_632_772"
"A",33,776,98,596,95,"A",NA,"A_596_776"
"A",33,779,64,570,56,"A",NA,"A_570_779"
"A",33,780,58,728,51,"H",NA,"A_728_780"
"A",33,781,53,727,46,"H",NA,"A_727_781"
"A",33,788,103,619,74,"H",NA,"A_619_788"
"A",33,791,74,803,68,"N",NA,"A_791_803"
"A",33,793,88,573,84,"A",NA,"A_573_793"
"A",33,794,65,558,39,"N",NA,"A_558_794"
"A",33,796,71,513,62,"A",NA,"A_513_796"
"A",33,802,100,693,51,"H",NA,"A_693_802"
"A",33,804,76,812,73,"N",NA,"A_804_812"
"A",33,811,67,816,51,"H",NA,"A_811_816"
"A",33,813,56,653,53,"A",NA,"A_653_813"
"A",33,815,69,540,60,"H",NA,"A_540_815"
"A",33,819,88,713,77,"H",NA,"A_713_819"
"A",33,824,88,716,67,"H",NA,"A_716_824"
"A",33,827,87,598,63,"H",NA,"A_598_827"
"A",33,828,82,854,64,"A",NA,"A_828_854"
"A",33,829,83,778,68,"H",NA,"A_778_829"
"A",33,831,71,847,66,"A",NA,"A_831_847"
"A",33,832,110,740,103,"H",NA,"A_740_832"
"A",33,834,69,538,64,"N",NA,"A_538_834"
"A",33,839,68,644,53,"H",NA,"A_644_839"
"A",33,842,66,557,58,"A",NA,"A_557_842"
"A",33,849,57,789,54,"H",NA,"A_789_849"
"A",33,851,76,580,64,"H",NA,"A_580_851"
"A",33,853,109,648,78,"H",NA,"A_648_853"
"A",34,559,63,527,62,"H",NA,"A_527_559"
"A",34,662,98,599,81,"H",NA,"A_599_662"
"A",34,663,80,592,58,"N",NA,"A_592_663"
"A",34,786,82,737,78,"A",NA,"A_737_786"
"A",34,805,66,518,54,"A",NA,"A_518_805"
"A",35,503,77,552,52,"A",NA,"A_503_552"
"A",35,546,85,510,81,"A",NA,"A_510_546"
"A",35,571,64,838,59,"H",NA,"A_571_838"
"A",35,577,84,747,64,"H",NA,"A_577_747"
"A",35,583,68,850,58,"A",NA,"A_583_850"
"A",35,590,71,745,68,"H",NA,"A_590_745"
"A",35,603,83,746,52,"H",NA,"A_603_746"
"A",35,623,82,637,56,"H",NA,"A_623_637"
"A",35,633,74,784,66,"H",NA,"A_633_784"
"A",35,645,61,619,58,"A",NA,"A_619_645"
"A",35,652,86,818,83,"H",NA,"A_652_818"
"A",35,690,77,846,52,"A",NA,"A_690_846"
"A",35,702,50,716,46,"H",NA,"A_702_716"
"A",35,744,69,813,68,"A",NA,"A_744_813"
"A",35,751,85,713,74,"H",NA,"A_713_751"
"A",35,772,80,811,76,"H",NA,"A_772_811"
"A",35,799,66,653,62,"A",NA,"A_653_799"
"A",35,802,73,835,65,"A",NA,"A_802_835"
"A",35,821,86,575,50,"H",NA,"A_575_821"
"A",35,825,82,594,61,"H",NA,"A_594_825"
"A",35,840,92,632,76,"H",NA,"A_632_840"
"A",36,511,84,680,66,"H",NA,"A_511_680"
"A",36,515,104,676,93,"H",NA,"A_515_676"
"A",36,520,103,508,60,"H",NA,"A_508_520"
"A",36,521,111,734,85,"H",NA,"A_521_734"
"A",36,530,78,780,68,"H",NA,"A_530_780"
"A",36,536,76,822,52,"H",NA,"A_536_822"
"A",36,539,83,755,70,"A",NA,"A_539_755"
"A",36,541,82,534,75,"H",NA,"A_534_541"
"A",36,558,73,517,59,"A",NA,"A_517_558"
"A",36,564,85,754,83,"A",NA,"A_564_754"
"A",36,589,73,762,65,"H",NA,"A_589_762"
"A",36,597,92,756,68,"H",NA,"A_597_756"
"A",36,599,76,635,68,"A",NA,"A_599_635"
"A",36,610,83,550,66,"A",NA,"A_550_610"
"A",36,612,92,616,64,"A",NA,"A_612_616"
"A",36,628,78,714,73,"A",NA,"A_628_714"
"A",36,666,89,605,69,"H",NA,"A_605_666"
"A",36,670,69,655,68,"A",NA,"A_655_670"
"A",36,675,123,800,73,"H",NA,"A_675_800"
"A",36,687,94,516,82,"H",NA,"A_516_687"
"A",36,701,86,512,79,"A",NA,"A_512_701"
"A",36,730,90,565,81,"A",NA,"A_565_730"
"A",36,741,78,712,61,"H",NA,"A_712_741"
"A",36,743,73,740,67,"H",NA,"A_740_743"
"A",36,752,67,519,63,"A",NA,"A_519_752"
"A",36,771,67,723,61,"A",NA,"A_723_771"
"A",36,775,77,704,55,"A",NA,"A_704_775"
"A",36,776,87,683,69,"H",NA,"A_683_776"
"A",36,786,97,778,72,"H",NA,"A_778_786"
"A",36,793,110,820,98,"H",NA,"A_793_820"
"A",36,801,78,595,77,"H",NA,"A_595_801"
"A",36,805,41,768,39,"H",NA,"A_768_805"
"A",36,816,73,568,56,"H",NA,"A_568_816"
"A",36,827,61,830,48,"A",NA,"A_827_830"
"A",36,829,70,668,68,"A",NA,"A_668_829"
"A",36,845,69,834,67,"H",NA,"A_834_845"
"A",36,849,94,851,91,"A",NA,"A_849_851"
"A",37,504,90,792,78,"H",NA,"A_504_792"
"A",37,527,55,731,53,"H",NA,"A_527_731"
"A",37,551,79,545,60,"H",NA,"A_545_551"
"A",37,557,91,556,71,"H",NA,"A_556_557"
"A",37,559,85,717,65,"A",NA,"A_559_717"
"A",37,561,82,644,61,"H",NA,"A_561_644"
"A",37,573,77,579,50,"A",NA,"A_573_579"
"A",37,574,57,537,54,"H",NA,"A_537_574"
"A",37,580,71,569,65,"H",NA,"A_569_580"
"A",37,620,64,840,61,"H",NA,"A_620_840"
"A",37,624,66,719,65,"A",NA,"A_624_719"
"A",37,629,65,575,62,"A",NA,"A_575_629"
"A",37,640,74,844,62,"H",NA,"A_640_844"
"A",37,647,71,613,66,"H",NA,"A_613_647"
"A",37,651,119,682,61,"H",NA,"A_651_682"
"A",37,654,77,626,73,"A",NA,"A_626_654"
"A",37,659,49,766,47,"A",NA,"A_659_766"
"A",37,660,95,560,69,"H",NA,"A_560_660"
"A",37,662,88,619,71,"H",NA,"A_619_662"
"A",37,663,60,839,46,"H",NA,"A_663_839"
"A",37,667,68,850,56,"A",NA,"A_667_850"
"A",37,669,85,853,71,"H",NA,"A_669_853"
"A",37,671,67,587,63,"H",NA,"A_587_671"
"A",37,686,81,641,66,"A",NA,"A_641_686"
"A",37,698,88,562,67,"A",NA,"A_562_698"
"A",37,722,80,819,63,"H",NA,"A_722_819"
"A",37,728,67,799,61,"A",NA,"A_728_799"
"A",37,738,77,721,63,"H",NA,"A_721_738"
"A",37,744,74,509,66,"H",NA,"A_509_744"
"A",37,757,76,753,73,"A",NA,"A_753_757"
"A",37,764,79,737,72,"H",NA,"A_737_764"
