"season","daynum","wteam","lteam","pct_both_tourney","id"
"A",82,853,775,0.026,"A_775_853"
"A",82,854,531,0.002,"A_531_854"
"A",83,518,655,0.052,"A_518_655"
"A",83,551,839,0.619,"A_551_839"
"A",83,559,786,0.756,"A_559_786"
"A",83,589,766,0.006,"A_589_766"
"A",83,599,569,0.019,"A_569_599"
"A",83,627,541,0.061,"A_541_627"
"A",83,629,676,0.075,"A_629_676"
"A",83,650,768,0.004,"A_650_768"
"A",83,651,772,0.105,"A_651_772"
"A",83,653,704,0.004,"A_653_704"
"A",83,670,729,0.702,"A_670_729"
"A",83,714,575,0.023,"A_575_714"
"A",83,805,549,0.384,"A_549_805"
"A",83,835,513,0.026,"A_513_835"
"A",83,840,841,0.052,"A_840_841"
"A",84,509,635,0.005,"A_509_635"
"A",84,523,683,0.001,"A_523_683"
"A",84,545,740,0.002,"A_545_740"
"A",84,550,598,0.001,"A_550_598"
"A",84,560,593,0.001,"A_560_593"
"A",84,579,534,0.002,"A_534_579"
"A",84,580,672,0.002,"A_580_672"
"A",84,622,654,0.007,"A_622_654"
"A",84,624,678,0.036,"A_624_678"
"A",84,626,846,0.001,"A_626_846"
"A",84,632,608,0.001,"A_608_632"
"A",84,633,516,0.008,"A_516_633"
"A",84,636,721,0.356,"A_636_721"
"A",84,645,553,0.002,"A_553_645"
"A",84,648,776,0.001,"A_648_776"
"A",84,659,838,0.003,"A_659_838"
"A",84,661,547,0.003,"A_547_661"
"A",84,677,696,0.001,"A_677_696"
"A",84,679,588,0.009,"A_588_679"
"A",84,686,777,0.015,"A_686_777"
"A",84,693,665,0.002,"A_665_693"
"A",84,702,647,0.006,"A_647_702"
"A",84,711,820,0.002,"A_711_820"
"A",84,728,642,0.002,"A_642_728"
"A",84,744,745,0.002,"A_744_745"
"A",84,762,792,0.005,"A_762_792"
"A",84,764,778,0.421,"A_764_778"
"A",84,765,716,0.001,"A_716_765"
"A",84,773,734,0.001,"A_734_773"
"A",84,779,596,0.003,"A_596_779"
"A",84,780,687,0.019,"A_687_780"
"A",84,788,742,0.023,"A_742_788"
"A",84,795,819,0.001,"A_795_819"
"A",84,804,508,0.001,"A_508_804"
"A",84,812,751,0.001,"A_751_812"
"A",84,815,813,0.002,"A_813_815"
"A",84,826,855,0.002,"A_826_855"
"A",84,831,775,0.104,"A_775_831"
"A",84,832,586,0.017,"A_586_832"
"A",84,834,548,0.001,"A_548_834"
"A",84,851,574,0.022,"A_574_851"
"A",85,515,504,0.088,"A_504_515"
"A",85,528,712,0.002,"A_528_712"
"A",85,530,587,0.085,"A_530_587"
"A",85,559,544,0.019,"A_544_559"
"A",85,568,510,0.016,"A_510_568"
"A",85,575,749,0.04,"A_575_749"
"A",85,615,799,0.002,"A_615_799"
"A",85,625,670,0.525,"A_625_670"
"A",85,627,658,0.063,"A_627_658"
"A",85,643,543,0.001,"A_543_643"
"A",85,652,538,0.002,"A_538_652"
"A",85,653,782,0.017,"A_653_782"
"A",85,655,705,0.008,"A_655_705"
"A",85,657,611,0.003,"A_611_657"
"A",85,663,731,0.16,"A_663_731"
"A",85,668,717,0.033,"A_668_717"
"A",85,789,641,0.208,"A_641_789"
"A",85,796,767,0.048,"A_767_796"
"A",85,828,700,0.003,"A_700_828"
"A",85,843,746,0.015,"A_746_843"
"A",86,519,682,0.005,"A_519_682"
"A",86,520,529,0.045,"A_520_529"
"A",86,533,555,0.017,"A_533_555"
"A",86,537,639,0.005,"A_537_639"
"A",86,540,850,0.002,"A_540_850"
"A",86,545,553,0.002,"A_545_553"
"A",86,581,669,0.086,"A_581_669"
"A",86,583,743,0.006,"A_583_743"
"A",86,592,827,0.14,"A_592_827"
"A",86,603,786,0.421,"A_603_786"
"A",86,606,695,0.27,"A_606_695"
"A",86,607,732,0.019,"A_607_732"
"A",86,617,794,0.015,"A_617_794"
"A",86,623,720,0.111,"A_623_720"
"A",86,629,556,0.047,"A_556_629"
"A",86,637,722,0.097,"A_637_722"
"A",86,640,604,0.433,"A_604_640"
"A",86,651,780,0.149,"A_651_780"
"A",86,662,551,0.464,"A_551_662"
"A",86,666,805,0.414,"A_666_805"
"A",86,671,715,0.009,"A_671_715"
"A",86,672,773,0.005,"A_672_773"
"A",86,674,518,0.006,"A_518_674"
"A",86,696,579,0.001,"A_579_696"
"A",86,698,676,0.033,"A_676_698"
"A",86,708,595,0.334,"A_595_708"
"A",86,714,749,0.03,"A_714_749"
"A",86,723,635,0.01,"A_635_723"
"A",86,729,738,0.815,"A_729_738"
"A",86,747,610,0.001,"A_610_747"
"A",86,753,565,0.002,"A_565_753"
"A",86,754,566,0.007,"A_566_754"
"A",86,769,675,0.445,"A_675_769"
"A",86,793,521,0.019,"A_521_793"
"A",86,798,503,0.013,"A_503_798"
"A",86,802,562,0.034,"A_562_802"
"A",86,810,818,0.763,"A_810_818"
"A",86,814,848,0.002,"A_814_848"
"A",86,815,740,0.003,"A_740_815"
"A",86,825,509,0.009,"A_509_825"
"A",86,829,737,0.306,"A_737_829"
"A",86,836,719,0.011,"A_719_836"
"A",86,839,830,0.402,"A_830_839"
"A",86,849,673,0.382,"A_673_849"
"A",87,511,726,0.117,"A_511_726"
"A",87,512,725,0.02,"A_512_725"
"A",87,513,650,0.011,"A_513_650"
"A",87,516,643,0.005,"A_516_643"
"A",87,530,626,0.018,"A_530_626"
"A",87,535,552,0.009,"A_535_552"
"A",87,539,841,0.164,"A_539_841"
"A",87,546,660,0.569,"A_546_660"
"A",87,549,573,0.25,"A_549_573"
"A",87,554,550,0.004,"A_550_554"
"A",87,557,597,0.056,"A_557_597"
"A",87,559,731,0.248,"A_559_731"
"A",87,560,665,0.002,"A_560_665"
"A",87,574,622,0.023,"A_574_622"
"A",87,575,624,0.057,"A_575_624"
"A",87,599,831,0.063,"A_599_831"
"A",87,600,586,0.001,"A_586_600"
"A",87,620,842,0.019,"A_620_842"
"A",87,627,782,0.052,"A_627_782"
"A",87,647,756,0.005,"A_647_756"
"A",87,658,766,0.008,"A_658_766"
"A",87,659,679,0.013,"A_659_679"
"A",87,664,751,0.004,"A_664_751"
"A",87,667,634,0.006,"A_634_667"
"A",87,683,619,0.001,"A_619_683"
"A",87,686,588,0.009,"A_588_686"
"A",87,701,536,0.037,"A_536_701"
"A",87,703,633,0.04,"A_633_703"
"A",87,705,765,0.001,"A_705_765"
"A",87,711,716,0.001,"A_711_716"
"A",87,741,779,0.057,"A_741_779"
"A",87,752,605,0.001,"A_605_752"
"A",87,757,727,0.002,"A_727_757"
"A",87,771,762,0.006,"A_762_771"
"A",87,777,648,0.005,"A_648_777"
"A",87,789,577,0.443,"A_577_789"
"A",87,801,772,0.037,"A_772_801"
"A",87,803,768,0.001,"A_768_803"
"A",87,807,699,0.007,"A_699_807"
"A",87,809,590,0.001,"A_590_809"
"A",87,812,819,0.001,"A_812_819"
"A",87,821,824,0.073,"A_821_824"
"A",87,822,564,0.005,"A_564_822"
"A",87,838,744,0.004,"A_744_838"
"A",87,840,783,0.125,"A_783_840"
"A",87,844,690,0.048,"A_690_844"
"A",87,845,654,0.003,"A_654_845"
"A",87,852,502,0.003,"A_502_852"
"A",87,853,641,0.009,"A_641_853"
"A",88,526,680,0.011,"A_526_680"
"A",88,528,576,0.01,"A_528_576"
"A",88,570,611,0.003,"A_570_611"
"A",88,589,704,0.003,"A_589_704"
"A",88,652,781,0.019,"A_652_781"
"A",88,657,700,0.001,"A_657_700"
"A",88,681,621,0.01,"A_621_681"
"A",88,712,615,0.001,"A_615_712"
"A",88,730,758,0.052,"A_730_758"
"A",88,799,828,0.007,"A_799_828"
"A",89,511,725,0.149,"A_511_725"
"A",89,512,726,0.015,"A_512_726"
"A",89,513,643,0.02,"A_513_643"
"A",89,515,724,0.013,"A_515_724"
"A",89,516,811,0.006,"A_516_811"
"A",89,520,669,0.014,"A_520_669"
"A",89,526,681,0.041,"A_526_681"
"A",89,529,503,0.019,"A_503_529"
"A",89,531,854,0.002,"A_531_854"
"A",89,533,642,0.002,"A_533_642"
"A",89,534,544,0.004,"A_534_544"
"A",89,535,574,0.032,"A_535_574"
"A",89,536,824,0.017,"A_536_824"
"A",89,554,540,0.023,"A_540_554"
"A",89,555,517,0.001,"A_517_555"
"A",89,557,502,0.015,"A_502_557"
"A",89,560,683,0.003,"A_560_683"
"A",89,562,678,0.012,"A_562_678"
"A",89,567,692,0.002,"A_567_692"
"A",89,568,661,0.017,"A_568_661"
"A",89,569,853,0.014,"A_569_853"
"A",89,579,834,0.002,"A_579_834"
"A",89,581,639,0.048,"A_581_639"
"A",89,583,816,0.017,"A_583_816"
"A",89,587,749,0.033,"A_587_749"
"A",89,592,655,0.175,"A_592_655"
"A",89,594,809,0.001,"A_594_809"
"A",89,598,547,0.003,"A_547_598"
"A",89,602,509,0.001,"A_509_602"
"A",89,606,595,0.222,"A_595_606"
"A",89,617,521,0.008,"A_521_617"
"A",89,620,713,0.001,"A_620_713"
"A",89,622,845,0.009,"A_622_845"
"A",89,623,715,0.019,"A_623_715"
"A",89,624,846,0.004,"A_624_846"
"A",89,626,714,0.003,"A_626_714"
"A",89,629,721,0.332,"A_629_721"
"A",89,632,506,0.001,"A_506_632"
"A",89,634,605,0.003,"A_605_634"
"A",89,640,769,0.929,"A_640_769"
"A",89,647,727,0.003,"A_647_727"
"A",89,648,745,0.001,"A_648_745"
"A",89,651,810,0.815,"A_651_810"
"A",89,654,552,0.002,"A_552_654"
"A",89,663,775,0.181,"A_663_775"
"A",89,666,772,0.068,"A_666_772"
"A",89,667,752,0.003,"A_667_752"
"A",89,671,673,0.215,"A_671_673"
"A",89,672,797,0.001,"A_672_797"
"A",89,674,504,0.024,"A_504_674"
"A",89,675,790,0.279,"A_675_790"
"A",89,676,637,0.071,"A_637_676"
"A",89,679,838,0.008,"A_679_838"
"A",89,680,621,0.003,"A_621_680"
"A",89,685,608,0.001,"A_608_685"
"A",89,686,659,0.014,"A_659_686"
"A",89,687,519,0.014,"A_519_687"
"A",89,695,551,0.151,"A_551_695"
"A",89,699,564,0.011,"A_564_699"
"A",89,702,817,0.003,"A_702_817"
"A",89,703,803,0.004,"A_703_803"
"A",89,708,839,0.862,"A_708_839"
"A",89,719,537,0.008,"A_537_719"
"A",89,723,847,0.001,"A_723_847"
"A",89,728,641,0.009,"A_641_728"
"A",89,729,625,0.588,"A_625_729"
"A",89,730,781,0.005,"A_730_781"
"A",89,732,607,0.019,"A_607_732"
"A",89,738,720,0.161,"A_720_738"
"A",89,741,578,0.027,"A_578_741"
"A",89,743,635,0.005,"A_635_743"
"A",89,744,588,0.012,"A_588_744"
"A",89,751,705,0.001,"A_705_751"
"A",89,755,753,0.014,"A_753_755"
"A",89,757,756,0.001,"A_756_757"
"A",89,758,652,0.095,"A_652_758"
"A",89,765,664,0.003,"A_664_765"
"A",89,767,788,0.017,"A_767_788"
"A",89,773,508,0.001,"A_508_773"
"A",89,774,565,0.006,"A_565_774"
"A",89,777,776,0.002,"A_776_777"
"A",89,778,603,0.259,"A_603_778"
"A",89,780,546,0.152,"A_546_780"
"A",89,782,766,0.003,"A_766_782"
"A",89,783,841,0.213,"A_783_841"
"A",89,786,527,0.556,"A_527_786"
"A",89,789,779,0.151,"A_779_789"
"A",89,791,580,0.003,"A_580_791"
"A",89,792,682,0.001,"A_682_792"
"A",89,802,575,0.106,"A_575_802"
"A",89,807,822,0.003,"A_807_822"
"A",89,812,711,0.001,"A_711_812"
"A",89,814,740,0.002,"A_740_814"
"A",89,815,545,0.013,"A_545_815"
"A",89,820,795,0.001,"A_795_820"
"A",89,821,701,0.271,"A_701_821"
"A",89,826,677,0.004,"A_677_826"
"A",89,827,604,0.148,"A_604_827"
"A",89,829,668,0.158,"A_668_829"
"A",89,831,596,0.011,"A_596_831"
"A",89,832,510,0.013,"A_510_832"
"A",89,835,650,0.006,"A_650_835"
"A",89,836,798,0.022,"A_798_836"
"A",89,840,539,0.171,"A_539_840"
"A",89,842,582,0.005,"A_582_842"
"A",89,843,717,0.016,"A_717_843"
"A",89,848,645,0.001,"A_645_848"
"A",89,852,597,0.018,"A_597_852"
"A",90,528,615,0.002,"A_528_615"
"A",90,541,589,0.037,"A_541_589"
"A",90,549,818,0.763,"A_549_818"
"A",90,559,830,0.306,"A_559_830"
"A",90,570,828,0.005,"A_570_828"
"A",90,576,712,0.008,"A_576_712"
"A",90,577,662,0.332,"A_577_662"
"A",90,613,754,0.018,"A_613_754"
"A",90,627,555,0.052,"A_555_627"
"A",90,628,670,0.607,"A_628_670"
"A",90,636,698,0.256,"A_636_698"
"A",90,653,658,0.013,"A_653_658"
"A",90,737,731,0.08,"A_731_737"
"A",90,764,746,0.049,"A_746_764"
"A",90,768,633,0.004,"A_633_768"
"A",90,796,793,0.229,"A_793_796"
"A",90,799,611,0.003,"A_611_799"
"A",90,801,573,0.115,"A_573_801"
"A",91,530,846,0.018,"A_530_846"
"A",91,534,800,0.001,"A_534_800"
"A",91,544,855,0.001,"A_544_855"
"A",91,547,832,0.002,"A_547_832"
"A",91,556,676,0.015,"A_556_676"
"A",91,562,749,0.014,"A_562_749"
"A",91,568,600,0.003,"A_568_600"
"A",91,578,569,0.015,"A_569_578"
"A",91,579,677,0.001,"A_579_677"
"A",91,583,847,0.003,"A_583_847"
"A",91,586,550,0.001,"A_550_586"
"A",91,619,560,0.003,"A_560_619"
"A",91,657,610,0.002,"A_610_657"
"A",91,661,598,0.007,"A_598_661"
"A",91,686,838,0.007,"A_686_838"
"A",91,687,672,0.018,"A_672_687"
"A",91,690,851,0.008,"A_690_851"
"A",91,699,817,0.005,"A_699_817"
"A",91,723,509,0.005,"A_509_723"
"A",91,742,773,0.007,"A_742_773"
"A",91,743,602,0.001,"A_602_743"
"A",91,791,682,0.004,"A_682_791"
"A",91,792,580,0.002,"A_580_792"
"A",91,797,519,0.001,"A_519_797"
"A",91,802,714,0.053,"A_714_802"
"A",91,814,850,0.002,"A_814_850"
"A",91,815,645,0.003,"A_645_815"
"A",91,822,702,0.002,"A_702_822"
"A",91,825,816,0.029,"A_816_825"
"A",91,829,786,0.978,"A_786_829"
"A",91,831,779,0.133,"A_779_831"
"A",91,833,510,0.001,"A_510_833"
"A",91,834,826,0.006,"A_826_834"
"A",92,515,655,0.066,"A_515_655"
"A",92,545,848,0.003,"A_545_848"
"A",92,551,606,0.566,"A_551_606"
"A",92,552,508,0.001,"A_508_552"
"A",92,612,700,0.001,"A_612_700"
"A",92,624,587,0.016,"A_587_624"
"A",92,625,628,0.617,"A_625_628"
"A",92,627,766,0.017,"A_627_766"
"A",92,658,589,0.013,"A_589_658"
"A",92,660,805,0.283,"A_660_805"
"A",92,663,596,0.05,"A_596_663"
"A",92,666,780,0.154,"A_666_780"
"A",92,704,712,0.001,"A_704_712"
"A",92,731,764,0.069,"A_731_764"
"A",92,744,648,0.004,"A_648_744"
"A",92,754,565,0.006,"A_565_754"
"A",92,775,741,0.092,"A_741_775"
"A",92,842,774,0.017,"A_774_842"
"A",93,504,592,0.19,"A_504_592"
"A",93,513,768,0.01,"A_513_768"
"A",93,530,575,0.225,"A_530_575"
"A",93,533,616,0.001,"A_533_616"
"A",93,535,654,0.007,"A_535_654"
"A",93,549,546,0.809,"A_546_549"
"A",93,555,642,0.002,"A_555_642"
"A",93,559,746,0.116,"A_559_746"
"A",93,568,832,0.007,"A_568_832"
"A",93,571,683,0.001,"A_571_683"
"A",93,583,743,0.006,"A_583_743"
"A",93,598,600,0.001,"A_598_600"
"A",93,603,843,0.036,"A_603_843"
"A",93,636,722,0.253,"A_636_722"
"A",93,637,698,0.135,"A_637_698"
"A",93,639,520,0.006,"A_520_639"
"A",93,651,771,0.119,"A_651_771"
"A",93,659,745,0.002,"A_659_745"
"A",93,669,529,0.027,"A_529_669"
"A",93,671,729,0.328,"A_671_729"
"A",93,673,715,0.023,"A_673_715"
"A",93,675,604,0.189,"A_604_675"
"A",93,678,802,0.093,"A_678_802"
"A",93,692,644,0.001,"A_644_692"
"A",93,708,577,0.636,"A_577_708"
"A",93,711,767,0.003,"A_711_767"
"A",93,717,778,0.074,"A_717_778"
"A",93,719,581,0.085,"A_581_719"
"A",93,720,849,0.065,"A_720_849"
"A",93,721,793,0.21,"A_721_793"
"A",93,723,816,0.01,"A_723_816"
"A",93,728,615,0.001,"A_615_728"
"A",93,738,670,0.809,"A_670_738"
"A",93,742,521,0.006,"A_521_742"
"A",93,749,626,0.004,"A_626_749"
"A",93,769,850,0.016,"A_769_850"
"A",93,782,777,0.018,"A_777_782"
"A",93,783,539,0.452,"A_539_783"
