id,team,year,seed,win,loss,final round,coach
5,Alcorn State,1983,12,1,1,Preliminary Round (7th rd),Davey Whitney
5,Alcorn State,1984,12,1,1,Preliminary Round (7th rd),Davey Whitney
5,Alcorn State,1999,15,0,1,Round of 64 (1st rd),Davey Whitney
5,Alcorn State,2002,16,0,1,Preliminary Round (0th rd),Davey Whitney
6,Appalachian State,1979,6,0,1,Round of 32 (2nd rd),Bobby Cremins
6,Appalachian State,2000,14,0,1,Round of 64 (1st rd),Buzz Peterson
7,Arizona,1951,NA,0,1,Sweet Sixteen (1st rd),Fred Enke
7,Arizona,1976,NA,2,1,Elite Eight (3rd rd),Fred Snowden
7,Arizona,1977,NA,0,1,Round of 32 (1st rd),Fred Snowden
7,Arizona,1985,10,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1986,9,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1987,10,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1988,1,4,1,National Semifinals (5th rd),Luther Olson
7,Arizona,1989,1,2,1,Sweet Sixteen (3rd rd),Luther Olson
7,Arizona,1990,2,1,1,Round of 32 (2nd rd),Luther Olson
7,Arizona,1991,2,2,1,Sweet Sixteen (3rd rd),Luther Olson
7,Arizona,1992,3,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1993,2,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1994,2,4,1,National Semifinals (5th rd),Luther Olson
7,Arizona,1995,5,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,1996,3,2,1,Sweet Sixteen (3rd rd),Luther Olson
7,Arizona,1997,4,6,0,National Championship (6th rd),Luther Olson
7,Arizona,1998,1,3,1,Elite Eight (4th rd),Luther Olson
7,Arizona,1999,4,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,2000,1,1,1,Round of 32 (2nd rd),Luther Olson
7,Arizona,2001,2,5,1,National Championship (6th rd),Luther Olson
7,Arizona,2002,3,2,1,Sweet Sixteen (3rd rd),Luther Olson
7,Arizona,2003,1,3,1,Elite Eight (4th rd),Luther Olson
7,Arizona,2004,9,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,2005,3,3,1,Elite Eight (4th rd),Luther Olson
7,Arizona,2006,8,1,1,Round of 32 (2nd rd),Luther Olson
7,Arizona,2007,8,0,1,Round of 64 (1st rd),Luther Olson
7,Arizona,2008,10,0,1,Round of 64 (1st rd),Kevin O'Neill
7,Arizona,2009,12,2,1,Sweet Sixteen (3rd rd),Russ Pennell
8,Arizona State,1958,NA,0,1,Round of 32 (1st rd),Ned Wulk
8,Arizona State,1961,NA,2,1,Elite Eight (3rd rd),Ned Wulk
8,Arizona State,1962,NA,0,1,Round of 32 (1st rd),Ned Wulk
8,Arizona State,1963,NA,2,1,Elite Eight (3rd rd),Ned Wulk
8,Arizona State,1964,NA,0,1,Round of 32 (1st rd),Ned Wulk
8,Arizona State,1973,NA,1,2,Sweet Sixteen (2nd rd),Ned Wulk
8,Arizona State,1975,NA,2,1,Elite Eight (3rd rd),Ned Wulk
8,Arizona State,1980,5,1,1,Round of 32 (2nd rd),Ned Wulk
8,Arizona State,1981,2,0,1,Round of 32 (2nd rd),Ned Wulk
8,Arizona State,1991,8,1,1,Round of 32 (2nd rd),Bill Frieder
8,Arizona State,1995,5,2,1,Sweet Sixteen (3rd rd),Bill Frieder
8,Arizona State,2003,10,1,1,Round of 32 (2nd rd),Rob Evans
8,Arizona State,2009,6,1,1,Round of 32 (2nd rd),Herb Sendek
9,Arkansas,1941,NA,1,1,National Semifinals (2nd rd),Glen Rose
9,Arkansas,1945,NA,1,1,National Semifinals (2nd rd),Eugene Lambert
9,Arkansas,1949,NA,1,1,Elite Eight (1st rd),Eugene Lambert
9,Arkansas,1958,NA,0,2,Sweet Sixteen (2nd rd),Glen Rose
9,Arkansas,1977,NA,0,1,Round of 32 (1st rd),Eddie Sutton
9,Arkansas,1978,NA,4,1,National Semifinals (4th rd),Eddie Sutton
9,Arkansas,1979,2,2,1,Elite Eight (4th rd),Eddie Sutton
9,Arkansas,1980,10,0,1,Round of 64 (1st rd),Eddie Sutton
9,Arkansas,1981,5,2,1,Sweet Sixteen (3rd rd),Eddie Sutton
9,Arkansas,1982,4,0,1,Round of 32 (2nd rd),Eddie Sutton
9,Arkansas,1983,4,1,1,Sweet Sixteen (3rd rd),Eddie Sutton
9,Arkansas,1984,2,0,1,Round of 32 (2nd rd),Eddie Sutton
9,Arkansas,1985,9,1,1,Round of 32 (2nd rd),Eddie Sutton
9,Arkansas,1988,11,0,1,Round of 64 (1st rd),Nolan Richardson
9,Arkansas,1989,5,1,1,Round of 32 (2nd rd),Nolan Richardson
9,Arkansas,1990,4,4,1,National Semifinals (5th rd),Nolan Richardson
9,Arkansas,1991,1,3,1,Elite Eight (4th rd),Nolan Richardson
9,Arkansas,1992,3,1,1,Round of 32 (2nd rd),Nolan Richardson
9,Arkansas,1993,4,2,1,Sweet Sixteen (3rd rd),Nolan Richardson
9,Arkansas,1994,1,6,0,National Championship (6th rd),Nolan Richardson
9,Arkansas,1995,2,5,1,National Championship (6th rd),Nolan Richardson
9,Arkansas,1996,12,2,1,Sweet Sixteen (3rd rd),Nolan Richardson
9,Arkansas,1998,6,1,1,Round of 32 (2nd rd),Nolan Richardson
9,Arkansas,1999,4,1,1,Round of 32 (2nd rd),Nolan Richardson
9,Arkansas,2000,11,0,1,Round of 64 (1st rd),Nolan Richardson
9,Arkansas,2001,7,0,1,Round of 64 (1st rd),Nolan Richardson
9,Arkansas,2006,8,0,1,Round of 64 (1st rd),Stan Heath
9,Arkansas,2007,12,0,1,Round of 64 (1st rd),Stan Heath
9,Arkansas,2008,9,1,1,Round of 32 (2nd rd),John Pelphrey
10,Arkansas State,1999,15,0,1,Round of 64 (1st rd),Dickey Nutt
11,Arkansas+AC0-Little Rock,1986,14,1,1,Round of 32 (2nd rd),Mike Newell
11,Arkansas+AC0-Little Rock,1989,13,0,1,Round of 64 (1st rd),Mike Newell
11,Arkansas+AC0-Little Rock,1990,16,0,1,Round of 64 (1st rd),Mike Newell
12,Auburn,1984,5,0,1,Round of 64 (1st rd),Sonny Smith
12,Auburn,1985,11,2,1,Sweet Sixteen (3rd rd),Sonny Smith
12,Auburn,1986,8,3,1,Elite Eight (4th rd),Sonny Smith
12,Auburn,1987,8,1,1,Round of 32 (2nd rd),Sonny Smith
12,Auburn,1988,8,1,1,Round of 32 (2nd rd),Sonny Smith
12,Auburn,1999,1,2,1,Sweet Sixteen (3rd rd),Cliff Ellis
12,Auburn,2000,7,1,1,Round of 32 (2nd rd),Cliff Ellis
12,Auburn,2003,10,2,1,Sweet Sixteen (3rd rd),Cliff Ellis
13,Austin Peay,1973,NA,1,2,Sweet Sixteen (2nd rd),Lake Kelly
13,Austin Peay,1974,NA,0,1,Round of 32 (1st rd),Lake Kelly
13,Austin Peay,1987,14,1,1,Round of 32 (2nd rd),Lake Kelly
13,Austin Peay,1996,14,0,1,Round of 64 (1st rd),Dave Loos
13,Austin Peay,2003,13,0,1,Round of 64 (1st rd),Dave Loos
13,Austin Peay,2008,15,0,1,Round of 64 (1st rd),Dave Loos
14,Ball State,1981,12,0,1,Round of 64 (1st rd),Steve Yoder
14,Ball State,1986,14,0,1,Round of 64 (1st rd),Al Brown
14,Ball State,1989,9,1,1,Round of 32 (2nd rd),Rick Majerus
14,Ball State,1990,12,2,1,Sweet Sixteen (3rd rd),Dick Hunsaker
14,Ball State,1993,15,0,1,Round of 64 (1st rd),Dick Hunsaker
14,Ball State,1995,12,0,1,Round of 64 (1st rd),Ray McCallum
14,Ball State,2000,11,0,1,Round of 64 (1st rd),Ray McCallum
15,Baylor,1946,NA,0,2,Elite Eight (1st rd),Bill Henderson
15,Baylor,1948,NA,2,1,National Championship (3rd rd),Bill Henderson
15,Baylor,1950,NA,1,2,National Semifinals (2nd rd),Bill Henderson
15,Baylor,1988,8,0,1,Round of 64 (1st rd),Gene Iba
15,Baylor,2008,11,0,1,Round of 64 (1st rd),Scott Drew
15,Baylor,2010,3,3,1,Elite Eight (4th rd),Scott Drew
16,Boise State,1976,NA,0,1,Round of 32 (1st rd),Bus Connor
16,Boise State,1988,14,0,1,Round of 64 (1st rd),Bob Dye
16,Boise State,1993,14,0,1,Round of 64 (1st rd),Bob Dye
16,Boise State,1994,14,0,1,Round of 64 (1st rd),Bob Dye
16,Boise State,2008,14,0,1,Round of 64 (1st rd),Greg Graham
17,Boston,1959,NA,2,1,Elite Eight (3rd rd),Matt Zunic
17,Boston,1983,12,0,1,Preliminary Round (7th rd),Rick Pitino
17,Boston,1988,15,0,1,Round of 64 (1st rd),Mike Jarvis
17,Boston,1990,16,0,1,Round of 64 (1st rd),Mike Jarvis
17,Boston,1997,12,0,1,Round of 64 (1st rd),Dennis Wolff
17,Boston,2002,16,0,1,Round of 64 (1st rd),Dennis Wolff
18,Boston College,1958,NA,0,1,Round of 32 (1st rd),Donald Martin
18,Boston College,1967,NA,2,1,Elite Eight (3rd rd),Bob Cousy
18,Boston College,1968,NA,0,1,Round of 32 (1st rd),Bob Cousy
18,Boston College,1975,NA,1,2,Sweet Sixteen (2nd rd),Bob Zuffelato
18,Boston College,1981,5,2,1,Sweet Sixteen (3rd rd),Tom Davis
18,Boston College,1982,8,3,1,Elite Eight (4th rd),Tom Davis
18,Boston College,1983,4,1,1,Sweet Sixteen (3rd rd),Gary Williams
18,Boston College,1985,11,2,1,Sweet Sixteen (3rd rd),Gary Williams
18,Boston College,1994,9,3,1,Elite Eight (4th rd),Jim(2) O'Brien
18,Boston College,1996,11,1,1,Round of 32 (2nd rd),Jim(2) O'Brien
18,Boston College,1997,5,1,1,Round of 32 (2nd rd),Jim(2) O'Brien
18,Boston College,2001,3,1,1,Round of 32 (2nd rd),Al Skinner
18,Boston College,2002,11,0,1,Round of 64 (1st rd),Al Skinner
18,Boston College,2004,6,1,1,Round of 32 (2nd rd),Al Skinner
18,Boston College,2005,4,1,1,Round of 32 (2nd rd),Al Skinner
18,Boston College,2006,4,2,1,Sweet Sixteen (3rd rd),Al Skinner
18,Boston College,2007,7,1,1,Round of 32 (2nd rd),Al Skinner
18,Boston College,2009,7,0,1,Round of 64 (1st rd),Al Skinner
19,Bowling Green,1959,NA,0,1,Round of 32 (1st rd),Harold Anderson
19,Bowling Green,1962,NA,0,1,Round of 32 (1st rd),Harold Anderson
19,Bowling Green,1963,NA,1,2,Sweet Sixteen (2nd rd),Harold Anderson
19,Bowling Green,1968,NA,0,1,Round of 32 (1st rd),Bill Fitch
20,Bradley,1950,NA,2,1,National Championship (3rd rd),Forddy Anderson
20,Bradley,1954,NA,4,1,National Championship (5th rd),Forddy Anderson
20,Bradley,1955,NA,2,1,Elite Eight (3rd rd),Bob Vanatta
20,Bradley,1980,11,0,1,Round of 64 (1st rd),Dick Versace
20,Bradley,1986,7,1,1,Round of 32 (2nd rd),Dick Versace
20,Bradley,1988,9,0,1,Round of 64 (1st rd),Stan Albeck
20,Bradley,1996,8,0,1,Round of 64 (1st rd),Jim Molinari
20,Bradley,2006,13,2,1,Sweet Sixteen (3rd rd),Jim Les
21,Brigham Young,1950,NA,1,1,Elite Eight (1st rd),Stan Watts
21,Brigham Young,1951,NA,1,2,Elite Eight (2nd rd),Stan Watts
21,Brigham Young,1957,NA,1,1,Sweet Sixteen (2nd rd),Stan Watts
21,Brigham Young,1965,NA,0,2,Sweet Sixteen (2nd rd),Stan Watts
21,Brigham Young,1969,NA,0,1,Round of 32 (1st rd),Stan Watts
21,Brigham Young,1971,NA,1,2,Sweet Sixteen (2nd rd),Stan Watts
21,Brigham Young,1972,NA,0,1,Round of 32 (1st rd),Stan Watts
21,Brigham Young,1979,5,0,1,Round of 32 (2nd rd),Frank Arnold
21,Brigham Young,1980,3,0,1,Round of 32 (2nd rd),Frank Arnold
21,Brigham Young,1981,6,3,1,Elite Eight (4th rd),Frank Arnold
21,Brigham Young,1984,8,1,1,Round of 32 (2nd rd),Ladell Andersen
21,Brigham Young,1987,10,0,1,Round of 64 (1st rd),Ladell Andersen
21,Brigham Young,1988,4,1,1,Round of 32 (2nd rd),Ladell Andersen
21,Brigham Young,1990,12,0,1,Round of 64 (1st rd),Roger Reid
21,Brigham Young,1991,10,1,1,Round of 32 (2nd rd),Roger Reid
21,Brigham Young,1992,10,0,1,Round of 64 (1st rd),Roger Reid
21,Brigham Young,1993,7,1,1,Round of 32 (2nd rd),Roger Reid
21,Brigham Young,1995,8,0,1,Round of 64 (1st rd),Roger Reid
21,Brigham Young,2001,12,0,1,Round of 64 (1st rd),Steve Cleveland
21,Brigham Young,2003,12,0,1,Round of 64 (1st rd),Steve Cleveland
21,Brigham Young,2004,12,0,1,Round of 64 (1st rd),Steve Cleveland
21,Brigham Young,2007,8,0,1,Round of 64 (1st rd),Dave Rose
21,Brigham Young,2008,8,0,1,Round of 64 (1st rd),Dave Rose
21,Brigham Young,2009,8,0,1,Round of 64 (1st rd),Dave Rose
21,Brigham Young,2010,7,1,1,Round of 32 (2nd rd),Dave Rose
22,Brown,1939,NA,0,1,Elite Eight (1st rd),George Allen
22,Brown,1986,15,0,1,Round of 64 (1st rd),Mike Cingiser
23,Bucknell,1987,16,0,1,Round of 64 (1st rd),Charles Woollum
23,Bucknell,1989,15,0,1,Round of 64 (1st rd),Charles Woollum
23,Bucknell,2005,14,1,1,Round of 32 (2nd rd),Pat Flannery
23,Bucknell,2006,9,1,1,Round of 32 (2nd rd),Pat Flannery
24,Butler,1962,NA,2,1,Sweet Sixteen (2nd rd),Tony Hinkle
24,Butler,1997,14,0,1,Round of 64 (1st rd),Barry Collier
24,Butler,1998,13,0,1,Round of 64 (1st rd),Barry Collier
24,Butler,2000,12,0,1,Round of 64 (1st rd),Barry Collier
24,Butler,2001,10,1,1,Round of 32 (2nd rd),Thad Matta
24,Butler,2003,12,2,1,Sweet Sixteen (3rd rd),Todd Lickliter
24,Butler,2007,5,2,1,Sweet Sixteen (3rd rd),Todd Lickliter
24,Butler,2008,7,1,1,Round of 32 (2nd rd),Brad Stevens
24,Butler,2009,9,0,1,Round of 64 (1st rd),Brad Stevens
24,Butler,2010,5,5,1,National Championship (6th rd),Brad Stevens
25,California,1946,NA,1,2,National Semifinals (2nd rd),Nibs Price
25,California,1957,NA,1,1,Elite Eight (3rd rd),Pete Newell
25,California,1958,NA,1,1,Elite Eight (3rd rd),Pete Newell
25,California,1959,NA,4,0,National Championship (5th rd),Pete Newell
25,California,1960,NA,4,1,National Championship (5th rd),Pete Newell
25,California,1990,9,1,1,Round of 32 (2nd rd),Lou Campanelli
25,California,1993,6,2,1,Sweet Sixteen (3rd rd),Todd Bozeman
25,California,1994,5,0,1,Round of 64 (1st rd),Todd Bozeman
25,California,1996,12,0,1,Round of 64 (1st rd),Todd Bozeman
25,California,1997,5,2,1,Sweet Sixteen (3rd rd),Ben Braun
25,California,2001,8,0,1,Round of 64 (1st rd),Ben Braun
25,California,2002,6,1,1,Round of 32 (2nd rd),Ben Braun
25,California,2003,8,1,1,Round of 32 (2nd rd),Ben Braun
25,California,2006,7,0,1,Round of 64 (1st rd),Ben Braun
25,California,2009,7,0,1,Round of 64 (1st rd),Mike Montgomery
25,California,2010,8,1,1,Round of 32 (2nd rd),Mike Montgomery
26,California State+AC0-Fullerton,1978,NA,2,1,Elite Eight (3rd rd),Bob Dye
26,California State+AC0-Fullerton,2008,14,0,1,Round of 64 (1st rd),Bob Burton
27,California State+AC0-Los Angeles,1974,NA,0,1,Round of 32 (1st rd),Bob Miller
28,California+AC0-Santa Barbara,1988,10,0,1,Round of 64 (1st rd),Jerry Pimm
28,California+AC0-Santa Barbara,1990,9,1,1,Round of 32 (2nd rd),Jerry Pimm
28,California+AC0-Santa Barbara,2002,14,0,1,Round of 64 (1st rd),Bob Williams
28,California+AC0-Santa Barbara,2010,15,0,1,Round of 64 (1st rd),Bob Williams
29,Campbell,1992,16,0,1,Round of 64 (1st rd),Billy Lee
30,Canisius,1955,NA,2,1,Elite Eight (3rd rd),Joseph Curran
30,Canisius,1956,NA,2,1,Elite Eight (3rd rd),Joseph Curran
30,Canisius,1957,NA,2,1,Sweet Sixteen (2nd rd),Joseph Curran
30,Canisius,1996,13,0,1,Round of 64 (1st rd),John Beilein
31,Catholic,1944,NA,0,2,Elite Eight (1st rd),John Long
32,CCNY,1947,NA,1,2,National Semifinals (2nd rd),Nat Holman
32,CCNY,1950,NA,3,0,National Championship (3rd rd),Nat Holman
33,Central Connecticut State,2000,15,0,1,Round of 64 (1st rd),Howie Dickenman
33,Central Connecticut State,2002,14,0,1,Round of 64 (1st rd),Howie Dickenman
33,Central Connecticut State,2007,16,0,1,Round of 64 (1st rd),Howie Dickenman
34,Central Florida,1994,16,0,1,Round of 64 (1st rd),Kirk Speraw
34,Central Florida,1996,16,0,1,Round of 64 (1st rd),Kirk Speraw
34,Central Florida,2004,14,0,1,Round of 64 (1st rd),Kirk Speraw
34,Central Florida,2005,15,0,1,Round of 64 (1st rd),Kirk Speraw
35,Central Michigan,1975,NA,2,1,Sweet Sixteen (2nd rd),Dick Parfitt
35,Central Michigan,1977,NA,0,1,Round of 32 (1st rd),Dick Parfitt
35,Central Michigan,1987,13,0,1,Round of 64 (1st rd),Charlie Coles
35,Central Michigan,2003,11,1,1,Round of 32 (2nd rd),Jay Smith
36,Charleston Southern,1997,15,0,1,Round of 64 (1st rd),Gary Edwards
37,+ACI-Charleston, South Carolina+ACI-,1994,12,0,1,Round of 64 (1st rd),John Kresse
37,+ACI-Charleston, South Carolina+ACI-,1997,12,1,1,Round of 32 (2nd rd),John Kresse
37,+ACI-Charleston, South Carolina+ACI-,1998,14,0,1,Round of 64 (1st rd),John Kresse
37,+ACI-Charleston, South Carolina+ACI-,1999,8,0,1,Round of 64 (1st rd),John Kresse
38,Charlotte,1977,NA,3,2,National Semifinals (4th rd),Lee Rose
38,Charlotte,1988,13,0,1,Round of 64 (1st rd),Jeff Mullins
38,Charlotte,1992,7,0,1,Round of 64 (1st rd),Jeff Mullins
38,Charlotte,1995,7,0,1,Round of 64 (1st rd),Jeff Mullins
38,Charlotte,1997,7,1,1,Round of 32 (2nd rd),Melvin Watkins
38,Charlotte,1998,8,1,1,Round of 32 (2nd rd),Melvin Watkins
38,Charlotte,1999,5,1,1,Round of 32 (2nd rd),Bobby Lutz
38,Charlotte,2001,9,1,1,Round of 32 (2nd rd),Bobby Lutz
38,Charlotte,2002,9,0,1,Round of 64 (1st rd),Bobby Lutz
38,Charlotte,2004,9,0,1,Round of 64 (1st rd),Bobby Lutz
38,Charlotte,2005,7,0,1,Round of 64 (1st rd),Bobby Lutz
39,Cincinnati,1958,NA,1,1,Sweet Sixteen (2nd rd),George Smith
39,Cincinnati,1959,NA,3,1,National Semifinals (4th rd),George Smith
39,Cincinnati,1960,NA,3,1,National Semifinals (4th rd),George Smith
39,Cincinnati,1961,NA,4,0,National Championship (5th rd),Ed Jucker
39,Cincinnati,1962,NA,4,0,National Championship (5th rd),Ed Jucker
39,Cincinnati,1963,NA,3,1,National Championship (5th rd),Ed Jucker
39,Cincinnati,1966,NA,0,2,Sweet Sixteen (2nd rd),Tay Baker
39,Cincinnati,1975,NA,2,1,Sweet Sixteen (2nd rd),Gale Catlett
39,Cincinnati,1976,NA,0,1,Round of 32 (1st rd),Gale Catlett
39,Cincinnati,1977,NA,0,1,Round of 32 (1st rd),Gale Catlett
39,Cincinnati,1992,4,4,1,National Semifinals (5th rd),Bob Huggins
39,Cincinnati,1993,2,3,1,Elite Eight (4th rd),Bob Huggins
39,Cincinnati,1994,8,0,1,Round of 64 (1st rd),Bob Huggins
39,Cincinnati,1995,7,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,1996,2,3,1,Elite Eight (4th rd),Bob Huggins
39,Cincinnati,1997,3,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,1998,2,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,1999,3,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,2000,2,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,2001,5,2,1,Sweet Sixteen (3rd rd),Bob Huggins
39,Cincinnati,2002,1,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,2003,8,0,1,Round of 64 (1st rd),Bob Huggins
39,Cincinnati,2004,4,1,1,Round of 32 (2nd rd),Bob Huggins
39,Cincinnati,2005,7,1,1,Round of 32 (2nd rd),Bob Huggins
40,Clemson,1980,6,3,1,Elite Eight (4th rd),Bill C. Foster
40,Clemson,1987,4,0,1,Round of 64 (1st rd),Cliff Ellis
40,Clemson,1989,9,1,1,Round of 32 (2nd rd),Cliff Ellis
40,Clemson,1990,5,2,1,Sweet Sixteen (3rd rd),Cliff Ellis
40,Clemson,1996,9,0,1,Round of 64 (1st rd),Rick Barnes
40,Clemson,1997,4,2,1,Sweet Sixteen (3rd rd),Rick Barnes
40,Clemson,1998,6,0,1,Round of 64 (1st rd),Rick Barnes
40,Clemson,2008,5,0,1,Round of 64 (1st rd),Oliver Purnell
40,Clemson,2009,7,0,1,Round of 64 (1st rd),Oliver Purnell
40,Clemson,2010,7,0,1,Round of 64 (1st rd),Oliver Purnell
41,Cleveland State,1986,14,2,1,Sweet Sixteen (3rd rd),Kevin Mackey
41,Cleveland State,2009,13,1,1,Round of 32 (2nd rd),Gary Waters
42,Coastal Carolina,1991,15,0,1,Round of 64 (1st rd),Russ Bergman
42,Coastal Carolina,1993,16,0,1,Round of 64 (1st rd),Russ Bergman
43,Colgate,1995,16,0,1,Round of 64 (1st rd),Jack Bruen
43,Colgate,1996,16,0,1,Round of 64 (1st rd),Jack Bruen
44,Colorado,1940,NA,0,2,Elite Eight (1st rd),Frosty Cox
44,Colorado,1942,NA,1,1,National Semifinals (2nd rd),Frosty Cox
44,Colorado,1946,NA,1,1,Elite Eight (1st rd),Frosty Cox
44,Colorado,1954,NA,0,2,Sweet Sixteen (2nd rd),Bebe Lee
44,Colorado,1955,NA,3,1,National Semifinals (4th rd),Bebe Lee
44,Colorado,1962,NA,1,1,Elite Eight (3rd rd),Sox Walseth
44,Colorado,1963,NA,1,1,Elite Eight (3rd rd),Sox Walseth
44,Colorado,1969,NA,1,1,Sweet Sixteen (2nd rd),Sox Walseth
44,Colorado,1997,9,1,1,Round of 32 (2nd rd),Ricardo Patton
44,Colorado,2003,10,0,1,Round of 64 (1st rd),Ricardo Patton
45,Colorado State,1954,NA,0,2,Sweet Sixteen (2nd rd),Bill Strannigan
45,Colorado State,1963,NA,0,1,Round of 32 (1st rd),Jim Williams
45,Colorado State,1965,NA,0,1,Round of 32 (1st rd),Jim Williams
45,Colorado State,1966,NA,0,1,Round of 32 (1st rd),Jim Williams
45,Colorado State,1969,NA,2,1,Elite Eight (3rd rd),Jim Williams
45,Colorado State,1989,10,1,1,Round of 32 (2nd rd),Boyd Grant
45,Colorado State,1990,10,0,1,Round of 64 (1st rd),Boyd Grant
45,Colorado State,2003,14,0,1,Round of 64 (1st rd),Dale Layer
46,Columbia,1948,NA,0,2,Elite Eight (1st rd),Gordon Ridings
46,Columbia,1951,NA,0,1,Sweet Sixteen (1st rd),Lou Rossini
46,Columbia,1968,NA,2,1,Sweet Sixteen (2nd rd),John Rohan
47,Connecticut,1951,NA,0,1,Sweet Sixteen (1st rd),Hugh Greer
47,Connecticut,1954,NA,0,1,Round of 32 (1st rd),Hugh Greer
47,Connecticut,1956,NA,1,2,Sweet Sixteen (2nd rd),Hugh Greer
47,Connecticut,1957,NA,0,1,Round of 32 (1st rd),Hugh Greer
47,Connecticut,1958,NA,0,1,Round of 32 (1st rd),Hugh Greer
47,Connecticut,1959,NA,0,1,Round of 32 (1st rd),Hugh Greer
47,Connecticut,1960,NA,0,1,Round of 32 (1st rd),Hugh Greer
47,Connecticut,1963,NA,0,1,Round of 32 (1st rd),George Wigton
47,Connecticut,1964,NA,2,1,Elite Eight (3rd rd),Fred Shabel
47,Connecticut,1965,NA,0,1,Round of 32 (1st rd),Fred Shabel
47,Connecticut,1967,NA,0,1,Round of 32 (1st rd),Fred Shabel
47,Connecticut,1976,NA,1,1,Sweet Sixteen (2nd rd),Dee Rowe
47,Connecticut,1979,5,0,1,Round of 32 (2nd rd),Dom Perno
47,Connecticut,1990,1,3,1,Elite Eight (4th rd),Jim Calhoun
47,Connecticut,1991,11,2,1,Sweet Sixteen (3rd rd),Jim Calhoun
47,Connecticut,1992,9,1,1,Round of 32 (2nd rd),Jim Calhoun
47,Connecticut,1994,2,2,1,Sweet Sixteen (3rd rd),Jim Calhoun
47,Connecticut,1995,2,3,1,Elite Eight (4th rd),Jim Calhoun
47,Connecticut,1996,1,2,1,Sweet Sixteen (3rd rd),Jim Calhoun
47,Connecticut,1998,2,3,1,Elite Eight (4th rd),Jim Calhoun
47,Connecticut,1999,1,6,0,National Championship (6th rd),Jim Calhoun
47,Connecticut,2000,5,1,1,Round of 32 (2nd rd),Jim Calhoun
47,Connecticut,2002,2,3,1,Elite Eight (4th rd),Jim Calhoun
47,Connecticut,2003,5,2,1,Sweet Sixteen (3rd rd),Jim Calhoun
47,Connecticut,2004,2,6,0,National Championship (6th rd),Jim Calhoun
47,Connecticut,2005,2,1,1,Round of 32 (2nd rd),Jim Calhoun
47,Connecticut,2006,1,3,1,Elite Eight (4th rd),Jim Calhoun
47,Connecticut,2008,4,0,1,Round of 64 (1st rd),Jim Calhoun
